"state","race","type","all_workers_n","artists_n","artists_share","location_quotient"
"Alabama","Hispanic","Architects",88165,45,0.000510406623943742,0.875351830553428
"Alaska","Hispanic","Architects",26875,15,0.000558139534883721,0.957214190892936
"Arizona","Hispanic","Architects",1033370,270,0.000261281051317534,0.448099291487519
"Arkansas","Hispanic","Architects",101405,NA,NA,NA
"California","Hispanic","Architects",7470730,3870,0.000518021665888073,0.888411694185695
"Colorado","Hispanic","Architects",594525,200,0.000336403010806947,0.576934109981305
"Connecticut","Hispanic","Architects",288845,150,0.000519309664352854,0.890620622833965
"Delaware","Hispanic","Architects",41365,0,NA,NA
"District of Columbia","Hispanic","Architects",44885,185,0.00412164420184917,7.06865590634706
"Florida","Hispanic","Architects",2752995,2900,0.00105339820813332,1.80658715332981
"Georgia","Hispanic","Architects",467240,370,0.00079188425648489,1.3580884357349
"Hawaii","Hispanic","Architects",69470,40,0.000575788109975529,0.987481651753665
"Idaho","Hispanic","Architects",101285,0,NA,NA
"Illinois","Hispanic","Architects",1100445,700,0.000636106302450372,1.09092788015596
"Indiana","Hispanic","Architects",212120,75,0.000353573448991137,0.60638156185762
"Iowa","Hispanic","Architects",90730,NA,NA,NA
"Kansas","Hispanic","Architects",167495,25,0.000149258186811547,0.255979097686972
"Kentucky","Hispanic","Architects",76325,NA,NA,NA
"Louisiana","Hispanic","Architects",113925,65,0.000570550800965548,0.978499620929616
"Maine","Hispanic","Architects",10935,NA,NA,NA
"Maryland","Hispanic","Architects",321570,205,0.000637497278975029,1.09331341707887
"Massachusetts","Hispanic","Architects",401715,375,0.000933497628916023,1.60095660980096
"Michigan","Hispanic","Architects",236520,105,0.000443937087772704,0.76135599383449
"Minnesota","Hispanic","Architects",149745,75,0.000500851447460683,0.858964619194219
"Mississippi","Hispanic","Architects",38780,0,NA,NA
"Missouri","Hispanic","Architects",121550,75,0.000617030028794735,1.0582119037535
"Montana","Hispanic","Architects",19215,NA,NA,NA
"Nebraska","Hispanic","Architects",99485,0,NA,NA
"Nevada","Hispanic","Architects",430565,NA,NA,NA
"New Hampshire","Hispanic","Architects",25860,NA,NA,NA
"New Jersey","Hispanic","Architects",928940,735,0.000791224406312571,1.35695678690996
"New Mexico","Hispanic","Architects",459615,130,0.000282845424975251,0.485082381186021
"New York","Hispanic","Architects",1819490,1830,0.00100577634392054,1.72491523910009
"North Carolina","Hispanic","Architects",451040,70,0.000155196878325647,0.266164005648773
"North Dakota","Hispanic","Architects",14510,0,NA,NA
"Ohio","Hispanic","Architects",204545,225,0.00110000244444987,1.88651382680444
"Oklahoma","Hispanic","Architects",187725,110,0.000585963510454122,1.00493255269756
"Oregon","Hispanic","Architects",266060,85,0.000319476809742163,0.547905526903969
"Pennsylvania","Hispanic","Architects",423215,185,0.000437130063915504,0.749681888298826
"Rhode Island","Hispanic","Architects",78695,NA,NA,NA
"South Carolina","Hispanic","Architects",134610,45,0.000334299086249164,0.5733258609371
"South Dakota","Hispanic","Architects",15565,NA,NA,NA
"Tennessee","Hispanic","Architects",167595,20,0.000119335302365822,0.204661088777491
"Texas","Hispanic","Architects",5220455,2585,0.000495167566811705,0.849216714097912
"Utah","Hispanic","Architects",213410,NA,NA,NA
"Vermont","Hispanic","Architects",6470,0,NA,NA
"Virginia","Hispanic","Architects",427525,345,0.000806970352610958,1.38396122272545
"Washington","Hispanic","Architects",448570,210,0.000468154357179481,0.802888822978503
"West Virginia","Hispanic","Architects",12005,0,NA,NA
"Wisconsin","Hispanic","Architects",186120,55,0.000295508274231678,0.506799278570679
"Wyoming","Hispanic","Architects",27680,0,NA,NA
"Puerto Rico","Hispanic","Architects",1208905,870,0.000719659526596383,NA
"Alabama","White","Architects",1496830,945,0.000631334219650862,0.492513270096739
"Alaska","White","Architects",253950,225,0.000886001181334908,0.691182776961065
"Arizona","White","Architects",1857110,2420,0.00130309997792268,1.01656778836511
"Arkansas","White","Architects",1014735,450,0.000443465535336812,0.345954098773103
"California","White","Architects",7686845,15935,0.00207302215668456,1.61719559876912
"Colorado","White","Architects",2172170,4625,0.00212920719833162,1.66102639033847
"Connecticut","White","Architects",1329540,2670,0.00200821336702919,1.5666372923592
"Delaware","White","Architects",307920,270,0.000876851130163679,0.684044685149113
"District of Columbia","White","Architects",183365,820,0.00447195484416328,3.48863887853541
"Florida","White","Architects",5285390,5425,0.00102641432325712,0.800721169685785
"Georgia","White","Architects",2773560,3545,0.00127814072888273,0.997096704775468
"Hawaii","White","Architects",177700,505,0.00284186831738885,2.21698399138817
"Idaho","White","Architects",688065,830,0.00120628138329954,0.941038154203376
"Illinois","White","Architects",4224420,6630,0.00156944621983609,1.22434847646926
"Indiana","White","Architects",2724985,1165,0.000427525289130032,0.333518874226285
"Iowa","White","Architects",1463250,830,0.000567230480095677,0.442504983818176
"Kansas","White","Architects",1178420,1495,0.0012686478505117,0.989691168335935
"Kentucky","White","Architects",1787115,1015,0.000567954496492951,0.443069799841648
"Louisiana","White","Architects",1337315,1410,0.00105435144300333,0.822515334765091
"Maine","White","Architects",658985,455,0.000690455776686875,0.538634881254012
